Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
34;4700152616;"Chungara";journal;"07177356, 07161182";"Universidad de Tarapaca";Yes;Yes;0,332;Q2;33;0;109;0;71;108;0,39;0,00;0,00;0;Chile;Latin America;"Universidad de Tarapaca";"2000-2002, 2004, 2006-2024";"Anthropology (Q2); Archeology (Q2)";"Social Sciences"
35;21101033505;"Revista del Museo de Antropologia";journal;"18524826, 1852060X";"Universidad Nacional de Cordoba, Facultad de Filosofia y Humanidades";Yes;Yes;0,332;Q2;8;73;233;3701;100;225;0,37;50,70;73,03;0;Argentina;Latin America;"Universidad Nacional de Cordoba, Facultad de Filosofia y Humanidades";"2019-2025";"Archeology (arts and humanities) (Q1); Museology (Q1); Anthropology (Q2); Archeology (Q2)";"Arts and Humanities; Social Sciences"
36;21100244605;"Cuestiones Constitucionales";journal;"24484881, 14059193";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,331;Q2;8;55;131;2561;46;130;0,14;46,56;27,42;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2013-2026";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
37;21100264819;"Vniversitas";journal;"00419060, 20111711";"Pontificia Universidad Javeriana";Yes;Yes;0,329;Q2;7;25;62;2172;22;61;0,22;86,88;33,33;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2025";"Law (Q2)";"Social Sciences"
38;5700160328;"Saude e Sociedade";journal;"01041290";"University of Sao Paolo";Yes;Yes;0,329;Q3;29;86;368;2649;274;355;0,73;30,80;56,74;0;Brazil;Latin America;"University of Sao Paolo";"2008-2025";"Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Social Sciences"
39;21100902663;"Revista Brasileira de Direito Processual Penal";journal;"23593881, 2525510X";"Instituto Brasileiro de Direito Processual Penal";Yes;Yes;0,318;Q2;8;44;115;2046;61;115;0,63;46,50;34,88;0;Brazil;Latin America;"Instituto Brasileiro de Direito Processual Penal";"2018-2025";"Anthropology (Q2); Law (Q2); Sociology and Political Science (Q2); Psychiatry and Mental Health (Q3); Safety Research (Q3)";"Medicine; Social Sciences"
40;5600152899;"Revista de Ciencias Sociales";journal;"13159518";"Universidad del Zulia";Yes;Yes;0,314;Q2;29;234;610;10126;998;595;1,42;43,27;44,46;0;Venezuela;Latin America;"Universidad del Zulia";"2007-2025";"Social Sciences (miscellaneous) (Q2); Public Administration (Q3)";"Social Sciences"
41;5800169372;"Brazilian Journal of Political Economy";journal;"18094538, 01013157";"Universidade de Sao Paulo. Museu de Zoologia";Yes;Yes;0,309;Q2;26;26;151;993;130;150;0,70;38,19;22,50;0;Brazil;Latin America;"Universidade de Sao Paulo. Museu de Zoologia";"2000, 2005, 2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
42;5000159706;"Revista Electronica de Investigacion Educativa";journal;"16074041";"Universidad Autonoma de Baja California";Yes;Yes;0,309;Q3;24;15;87;600;106;87;1,17;40,00;57,14;0;Mexico;Latin America;"Universidad Autonoma de Baja California";"2006-2026";"Education (Q3)";"Social Sciences"
43;21100933830;"Estudios Fronterizos";journal;"23959134";"Universidad Autonoma de Baja California";Yes;Yes;0,303;Q2;10;17;76;1028;70;74;0,90;60,47;36,67;0;Mexico;Latin America;"Universidad Autonoma de Baja California";"2019-2025";"History (Q1); Anthropology (Q2); Demography (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
44;21101287730;"Almanack";journal;"22364633";"Federal University of Sao Paulo";Yes;No;0,303;Q3;3;37;101;1831;17;92;0,16;49,49;45,71;0;Brazil;Latin America;"Federal University of Sao Paulo";"2019, 2021-2025";"History (Q1); Education (Q3)";"Arts and Humanities; Social Sciences"
45;5600155211;"Historia Critica";journal;"19006152, 01211617";"Universidad de los Andes, Colombia";Yes;Yes;0,302;Q1;15;23;67;1057;32;67;0,62;45,96;46,67;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2002-2025";"Cultural Studies (Q1); History (Q1); Social Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
46;8000153130;"Ensaio";journal;"18094465, 01044036";"Fundacao Cesgranrio";Yes;Yes;0,302;Q3;18;53;171;1720;114;164;0,65;32,45;54,55;0;Brazil;Latin America;"Fundacao Cesgranrio";"2007-2026";"Education (Q3)";"Social Sciences"
47;21101044834;"Iconos";journal;"13901249, 13908065";"FLACSO Ecuador";Yes;Yes;0,301;Q2;9;33;99;1415;74;93;0,50;42,88;58,33;0;Ecuador;Latin America;"FLACSO Ecuador";"2019-2026";"Anthropology (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
48;19700169822;"Ikala";journal;"01233432";"Universidad de Antioquia";Yes;Yes;0,297;Q1;15;37;116;1871;113;115;0,72;50,57;60,29;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2025";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
49;21100927369;"Apuntes";journal;"22231757, 02521865";"Universidad del Pacifico Press";Yes;Yes;0,296;Q2;7;17;58;1035;53;55;0,79;60,88;43,75;0;Peru;Latin America;"Universidad del Pacifico Press";"2019-2026";"Social Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance; Social Sciences"
50;21101215777;"Justicia (Barranquilla)";journal;"25904566, 01247441";"Simon Bolivar University (Barranquilla)";Yes;Yes;0,296;Q2;5;27;98;1134;41;96;0,48;42,00;37,78;0;Colombia;Latin America;"Simon Bolivar University (Barranquilla)";"2020-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
51;19400158901;"Perfiles Educativos";journal;"24486167, 01852698";"Universidad Nacional Autonoma de Mexico";Yes;No;0,293;Q3;21;9;165;259;126;153;0,71;28,78;29,41;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2004-2005, 2009-2025";"Education (Q3)";"Social Sciences"
52;21100897721;"Revista Colombiana de Educacion";journal;"23230134, 01203916";"Research Center of Universidad Pedagogica Nacional";Yes;Yes;0,293;Q3;9;64;170;3034;128;169;0,66;47,41;48,94;0;Colombia;Latin America;"Research Center of Universidad Pedagogica Nacional";"2018-2026";"Education (Q3)";"Social Sciences"
53;15162;"Eure";journal;"07176236, 02507161";"Revista de Geografia Norte Grande";Yes;Yes;0,292;Q2;41;11;118;618;132;118;0,99;56,18;34,78;0;Chile;Latin America;"Revista de Geografia Norte Grande";"1979, 1982, 1996-1998, 2001-2025";"Urban Studies (Q2)";"Social Sciences"
54;21100793178;"Psicoperspectivas";journal;"07186924";"Pontificia Universidad Catolica de Valparaiso";Yes;Yes;0,292;Q2;27;21;100;891;84;90;0,65;42,43;47,37;0;Chile;Latin America;"Pontificia Universidad Catolica de Valparaiso";"2006-2025";"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
55;21100264483;"Cuadernos.info";journal;"0719367X, 07193661";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,291;Q2;20;49;146;2260;151;137;0,97;46,12;50,91;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2013-2025";"Communication (Q2); Library and Information Sciences (Q2)";"Social Sciences"
56;21101039620;"Archivos de Historia del Movimiento Obrero y la Izquierda";journal;"26839601, 23139749";"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";Yes;Yes;0,291;Q3;4;11;63;318;13;50;0,21;28,91;22,22;0;Argentina;Latin America;"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";"2019-2025";"History (Q1); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
57;75153;"Physis";journal;"18094481, 01037331";"Institute de Medicina Social da UERJ";Yes;Yes;0,291;Q3;23;137;286;4886;150;273;0,51;35,66;62,62;0;Brazil;Latin America;"Institute de Medicina Social da UERJ";"1969-1984, 2008-2025";"Health Policy (Q3); Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Social Sciences"
58;12045;"Interface: Communication, Health, Education";journal;"18075762, 14143283";"Fundacao UNI Botucatu/UNESP";Yes;No;0,290;Q2;30;119;331;3636;165;283;0,49;30,55;64,49;0;Brazil;Latin America;"Fundacao UNI Botucatu/UNESP";"1980, 2004, 2007-2026";"Communication (Q2); Education (Q3); Health (social science) (Q3)";"Social Sciences"
59;13000154718;"Revista Signos";journal;"00350451, 07180934";"Ediciones Universitarias de Valparaiso";Yes;Yes;0,290;Q2;23;16;110;828;61;110;0,46;51,75;62,96;0;Chile;Latin America;"Ediciones Universitarias de Valparaiso";"2007-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
60;21100867459;"Educacion Matematica";journal;"24488089, 01878298";"Mexican Society for Research and Dissemination of Mathematics Education";No;No;0,289;Q3;8;24;118;636;63;108;0,49;26,50;62,00;0;Mexico;Latin America;"Mexican Society for Research and Dissemination of Mathematics Education";"2018-2025";"Education (Q3); Mathematics (miscellaneous) (Q3)";"Mathematics; Social Sciences"
61;21100792726;"Dialogo Andino";journal;"07192681, 07162278";"Universidad de Tarapaca";Yes;Yes;0,287;Q1;15;14;181;741;98;173;0,39;52,93;25,00;0;Chile;Latin America;"Universidad de Tarapaca";"2016-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2)";"Arts and Humanities; Social Sciences"
62;21100309828;"CODAS";journal;"23171782";"Revista Pro-Fono";Yes;No;0,285;Q2;35;128;360;3896;328;357;0,70;30,44;76,70;0;Brazil;Latin America;"Revista Pro-Fono";"2013-2026";"Linguistics and Language (Q2); Otorhinolaryngology (Q3); Speech and Hearing (Q3)";"Health Professions; Medicine; Social Sciences"
63;19400157238;"Texto e Contexto Enfermagem";journal;"01040707, 1980265X";"Universidade Federal de Santa Catarina";Yes;No;0,285;Q2;31;74;365;2369;288;353;0,69;32,01;84,35;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2009-2025";"Advanced and Specialized Nursing (Q2); Law (Q2); Maternity and Midwifery (Q2); Community and Home Care (Q3); Nursing (miscellaneous) (Q3)";"Nursing; Social Sciences"
64;21101168865;"Revista de Arqueologia";journal;"19821999, 01020420";"Sociedade de Arqueologia Brasileira";Yes;Yes;0,284;Q2;7;38;139;2231;56;122;0,45;58,71;38,24;0;Brazil;Latin America;"Sociedade de Arqueologia Brasileira";"2019-2026";"History (Q1); Museology (Q1); Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
