Rank Arts and Humanities;Revista;ISSN;Editorial;País;Sitio web oficial;Estado de verificación;Fuente de verificación;Observación
92;Anais do Museu Paulista;01014714, 19820267;Universidade De Sao Paulo;Brazil;http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-4714&lng=en&nrm=iso;Verificado por ISSN en DOAJ;https://doaj.org/toc/18071433c2ee43e39b5a301dd2a7be7f;"Coincidencia exacta de ISSN con el registro DOAJ de «Anais do Museu Paulista: História e Cultura Material»; editorial declarada: Universidade de São Paulo, Museu Paulista."
94;Estudios de Filosofia (Colombia);01213628, 2256358X;Universidad de Antioquia;Colombia;https://revistas.udea.edu.co/index.php/estudios_de_filosofia;Verificado por ISSN en DOAJ;https://doaj.org/toc/ade5ff2ec2394bdaadde95e4ddeda49a;"Coincidencia exacta de ISSN con el registro DOAJ de «Estudios de Filosofía»; editorial declarada: Universidad de Antioquía."
97;Limite (Chile);07185065;Universidad de Tarapaca;Chile;https://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5065;Verificado manualmente;https://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5065;"Página oficial de la revista en SciELO Chile; ISSN en línea 0718-5065."
98;Topoi (Brazil);15183319, 2237101X;Universidade Federal do Rio de Janeiro;Brazil;https://revistatopoi.org/site/en/current-issue/;Verificado por ISSN en DOAJ;https://doaj.org/toc/a44eaa2f226242ae901f78ae99f89c99;"Coincidencia exacta de ISSN con el registro DOAJ de «Topoi»; editorial declarada: Universidade Federal do Rio de Janeiro."
99;Revista Chilena de Literatura;00487651, 07182295;Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura;Chile;http://www.revistaliteratura.uchile.cl/;Verificado por ISSN en DOAJ;https://doaj.org/toc/6cb2c289a6814a948381dc7077092a27;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista Chilena de Literatura»; editorial declarada: Universidad de Chile."
101;Boletin Cientifico del Centro de Museos;01233068;Universidad de Caldas;Colombia;https://revistasojs.ucaldas.edu.co/index.php/boletincientifico;Verificado manualmente;https://revistasojs.ucaldas.edu.co/index.php/boletincientifico;"Portal oficial de revistas de la Universidad de Caldas; ISSN 0123-3068."
102;Tempo (Brazil);14137704;Universidade Federal Fluminense;Brazil;https://www.scielo.br/j/tem/;Verificado manualmente;https://www.scielo.br/j/tem/;"Página vigente de la revista Tempo en SciELO Brasil; ISSN impreso 1413-7704."
103;Tempo e Argumento;21751803;State University of Santa Catarina;Brazil;https://www.periodicos.udesc.br/index.php/tempo/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/489e9bc5202b4606aa53387d40070288;"Coincidencia exacta de ISSN con el registro DOAJ de «Tempo e Argumento»; editorial declarada: Universidade do Estado de Santa Catarina."
105;Momento;01214470, 25008013;Universidad Nacional de Colombia;Colombia;https://revistas.unal.edu.co/index.php/momento;Verificado por ISSN en DOAJ;https://doaj.org/toc/0284adee1d8a4b11b7f8c114cceba8e2;"Coincidencia exacta de ISSN con el registro DOAJ de «Momento»; editorial declarada: Universidad Nacional de Colombia."
108;Prohistoria. Historia, Politicas de la Historia;18519504;Scientific Technological Center CONICET-Rosario;Argentina;https://ojs.rosario-conicet.gov.ar/index.php/prohistoria;Verificado por ISSN en DOAJ;https://doaj.org/toc/061f360e82b54b5e86b27fc1a1f256e1;"Coincidencia exacta de ISSN con el registro DOAJ de «Prohistoria»; editorial declarada: Grupo Prohistoria."
109;Literatura: Teoria, Historia, Critica;01235931, 22565450;Universidad Nacional de Colombia;Colombia;http://www.revistas.unal.edu.co/index.php/lthc;Verificado por ISSN en DOAJ;https://doaj.org/toc/b925bf7cdcf043ca9de0e722339e42b1;"Coincidencia exacta de ISSN con el registro DOAJ de «Literatura: Teoría, Historia, Crítica»; editorial declarada: Universidad Nacional de Colombia."
110;Principia;14144247, 18081711;Federal University of Santa Catarina;Brazil;https://periodicos.ufsc.br/index.php/principia/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/0077c5e06f224446aac192d4f0e7defd;"Coincidencia exacta de ISSN con el registro DOAJ de «Principia: An International Journal of Epistemology»; editorial declarada: Universidade Federal de Santa Catarina."
111;Poligramas;25909207;Universidad del Valle;Colombia;http://poligramas.univalle.edu.co/index.php/poligramas/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/f2411d36da5f4c78aba6e88b721458f9;"Coincidencia exacta de ISSN con el registro DOAJ de «Poligramas»; editorial declarada: Universidad del Valle."
113;Theologica Xaveriana;01203649, 2011219X;Pontificia Universidad Javeriana;Colombia;https://revistas.javeriana.edu.co/index.php/teoxaveriana;Verificado manualmente;https://revistas.javeriana.edu.co/index.php/teoxaveriana;"Portal oficial de revistas de la Pontificia Universidad Javeriana; ISSN 0120-3649 y 2011-219X."
114;Taller de Letras;07160798;Pontificia Universidad Catolica de Chile;Chile;https://tallerdeletras.letras.uc.cl/index.php/TL;Verificado manualmente;https://tallerdeletras.letras.uc.cl/index.php/TL;"Sitio oficial de la Facultad de Letras de la Pontificia Universidad Católica de Chile; ISSN 0716-0798."
115;Critica-Revista Hispanoamericana de Filosofia;18704905, 00111503;Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas;Mexico;https://critica.filosoficas.unam.mx/index.php/critica;Verificado por ISSN en DOAJ;https://doaj.org/toc/ea54963af0fd4a65901c1f778d37a4fa;"Coincidencia exacta de ISSN con el registro DOAJ de «Crítica»; editorial declarada: Universidad Nacional Autónoma de México (UNAM)."
117;Ilha do Desterro;01014846, 21758026;Universidade Federal de Santa Catarina;Brazil;http://www.periodicos.ufsc.br/index.php/desterro;Verificado por ISSN en DOAJ;https://doaj.org/toc/e3649e22c4e94295af1b089ba68c89a9;"Coincidencia exacta de ISSN con el registro DOAJ de «Ilha do Desterro»; editorial declarada: Universidade Federal de Santa Catarina."
118;Prometeica;18529488;CONICET - Emiliano Aldegani;Argentina;https://periodicos.unifesp.br/index.php/prometeica/;Verificado por ISSN en DOAJ;https://doaj.org/toc/c5a0fdf907e842048b1de78f756b6fa6;"Coincidencia exacta de ISSN con el registro DOAJ de «Prometeica»; editorial declarada: Universidade Federal de São Paulo."
119;Historia Unisinos;22361782, 15193861;Universidade do Vale do Rio dos Sinos;Brazil;https://revistas.unisinos.br/index.php/historia;Verificado manualmente;https://revistas.unisinos.br/index.php/historia;"Portal oficial de revistas de Unisinos; ISSN 1519-3861 y 2236-1782."
122;Trans/Form/Acao;1980539X, 01013173;Universidade Estadual Paulista (UNESP);Brazil;https://revistas.marilia.unesp.br/index.php/transformacao/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/35791329887246fa9cfe437b5ae94989;"Coincidencia exacta de ISSN con el registro DOAJ de «Trans/Form/Ação»; editorial declarada: Universidade Estadual Paulista."
123;Aisthesis;07187181, 05683939;Pontificia Universidad Catolica de Chile;Chile;https://revistaaisthesis.uc.cl/index.php/RAIT/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/920de67bc9b04f03ae9b04c6c14ef0fd;"Coincidencia exacta de ISSN con el registro DOAJ de «Aisthesis»; editorial declarada: Pontificia Universidad Católica de Chile."
