Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
44;21100897732;"Perseitas";journal;"23461780";"Universidad Catolica Luis Amigo";Yes;Yes;0,202;Q2;4;25;58;1120;13;53;0,18;44,80;22,50;0;Colombia;Latin America;"Universidad Catolica Luis Amigo";"2018-2025";"Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities"
45;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";"Universidad Catolica del Norte";Yes;Yes;0,201;Q2;26;8;51;598;25;51;0,30;74,75;21,43;0;Chile;Latin America;"Universidad Catolica del Norte";"2007-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2); History (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
46;21101017489;"Nueva Revista del Pacifico";journal;"07166346, 07195176";"Universidad de Playa Ancha de Ciencias de la Educacion";Yes;Yes;0,200;Q1;5;33;73;1176;23;71;0,32;35,64;47,73;0;Chile;Latin America;"Universidad de Playa Ancha de Ciencias de la Educacion";"2019-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
47;10300153364;"Cuadernos de Historia";journal;"07191243, 07161832";"Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura";Yes;Yes;0,199;Q2;8;27;74;1286;32;73;0,43;47,63;25,00;0;Chile;Latin America;"Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura";"1999, 2001-2002, 2017-2025";"History (Q2)";"Arts and Humanities"
48;21101128485;"Historia Agraria de America Latina";journal;"24525162";"Centro de Estudios de Historia Agraria de America Latina";Yes;Yes;0,198;Q2;3;18;40;812;15;40;0,39;45,11;39,13;0;Chile;Latin America;"Centro de Estudios de Historia Agraria de America Latina";"2020-2025";"Arts and Humanities (miscellaneous) (Q2); History (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
49;21101050907;"Revista Bioetica";journal;"19838034, 19838042";"Conselho Federal de Medicina";Yes;Yes;0,198;Q2;11;79;211;2507;107;199;0,39;31,73;57,14;0;Brazil;Latin America;"Conselho Federal de Medicina";"2019-2025";"Philosophy (Q2); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Medicine; Social Sciences"
50;7000153202;"Teologia y Vida";journal;"07176295, 00493449";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,198;Q2;10;0;52;0;15;52;0,31;0,00;0,00;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2007-2024";"Religious Studies (Q2)";"Arts and Humanities"
51;21100792502;"Trashumante";journal;"23229675, 23229381";"Universidad de Antioquia";Yes;Yes;0,198;Q2;7;21;88;724;25;87;0,29;34,48;65,22;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2026";"History (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
52;21100228046;"America Latina en la Historia Economica";journal;"20073496, 14052253";"Instituto de Investigaciones Dr. Jose Maria Luis Mora";Yes;Yes;0,196;Q2;11;27;82;1325;31;82;0,41;49,07;13,16;0;Mexico;Latin America;"Instituto de Investigaciones Dr. Jose Maria Luis Mora";"2000-2001, 2012-2026";"History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3)";"Arts and Humanities; Economics, Econometrics and Finance"
53;11700154713;"Perspectivas em Ciencia da Informacao";journal;"19815344, 14139936";"Escola de Ciencia da Informacao da UFMG";Yes;Yes;0,195;Q2;14;16;81;572;41;79;0,30;35,75;56,52;0;Brazil;Latin America;"Escola de Ciencia da Informacao da UFMG";"2008-2025";"Museology (Q2); Communication (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
54;21100258911;"Izquierdas";journal;"07185049";"Ariadna Ediciones";Yes;Yes;0,194;Q2;13;79;233;3246;40;232;0,09;41,09;34,29;0;Chile;Latin America;"Ariadna Ediciones";"2013-2025";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
55;21100829925;"HiSTOReLo";journal;"2145132X";"Universidad Nacional de Colombia";Yes;Yes;0,193;Q2;6;25;72;1291;18;62;0,09;51,64;47,22;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2013-2026";"Cultural Studies (Q2); History (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
56;19700167010;"Estudios de Historia Moderna Contemporanea de Mexico";journal;"24485004, 01852620";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,192;Q2;8;27;81;915;11;79;0,18;33,89;54,17;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1965, 1990, 2009-2026";"History (Q2)";"Arts and Humanities"
57;21100944721;"Cadernos de Traducao";journal;"21757968, 1414526X";"Universidade Federal de Santa Catarina";Yes;Yes;0,190;Q1;8;32;305;1786;78;296;0,28;55,81;53,66;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2025";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Linguistics and Language (Q2); Gender Studies (Q3); Artificial Intelligence (Q4); Education (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
58;21100319039;"Discusiones Filosoficas";journal;"01246127";"Universidad de Caldas";Yes;Yes;0,190;Q2;6;12;55;394;12;51;0,22;32,83;22,22;0;Colombia;Latin America;"Universidad de Caldas";"2013-2025";"Philosophy (Q2)";"Arts and Humanities"
59;21100982310;"Logos: Revista de Linguistica, Filosofia y Literatura";journal;"07167520, 07193262";"Universidad de la Serena,Departamento de Artes y Letras";Yes;Yes;0,189;Q1;7;59;90;2025;30;90;0,26;34,32;48,00;0;Chile;Latin America;"Universidad de la Serena,Departamento de Artes y Letras";"2019-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
60;21100227421;"Quinto Sol";journal;"03292665, 18512879";"Instituto de Estudios Sociohistoricos";Yes;Yes;0,187;Q2;8;32;95;887;16;91;0,17;27,72;55,88;0;Argentina;Latin America;"Instituto de Estudios Sociohistoricos";"2012-2025";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
